link_id,start_id,end_id,distance,rt_struct,route_type,direction,width,vtcl_slope,lev_diff,tfc_signal,tfc_s_type,brail_tile,elevator
00001B000000000309CBF9265DEAFFC1,00001B000000000309CBFAA65DE67FC1,00001B000000000309CBF7265DEF7FC1,50.7,1,0,0,2,0,0,0,0,0,0
00001B000000000309CBF7265DEF7FC2,00001B000000000309CBF6A65DEFFFC1,00001B000000000309CBF7265DEF7FC1,4.9,4,0,0,1,0,0,0,0,0,0
00001B000000000309CBF6A65DF07FC1,00001B000000000309CBF6A65DEFFFC1,00001B000000000309CBF6265DF0FFC1,6.5,1,0,0,1,0,0,0,0,0,0
00001B000000000309CBF5A65DF0FFC2,00001B000000000309CBF5A65DF0FFC1,00001B000000000309CBF6265DF0FFC1,3.2,2,0,0,3,0,0,0,0,0,0
00001B000000000309CBF7265DEA7FC1,00001B000000000309CBF9265DE57FC1,00001B000000000309CBF5265DEEFFC1,55,1,0,0,2,0,0,0,0,0,0
00001B000000000309CBF5265DEFFFC1,00001B000000000309CBF5265DEEFFC1,00001B000000000309CBF5A65DF0FFC1,10,3,0,0,3,0,0,0,0,0,0
00001B000000000309CBF5A65DF17FC1,00001B000000000309CBF5A65DF0FFC1,00001B000000000309CBF5A65DF27FC1,5.6,2,0,0,0,0,0,0,0,0,0
00001B000000000309CBF5A65DF47FC1,00001B000000000309CBF5A65DF27FC1,00001B000000000309CBF5A65DF6FFC1,24.5,2,0,0,3,0,0,0,0,0,0
00001B000000000309CBF5265DF87FC1,00001B000000000309CBF5A65DF6FFC1,00001B000000000309CBF4A65DF9FFC1,15.7,2,0,0,3,0,0,0,0,0,0
00001B000000000309CBF0265DFDFFC1,00001B000000000309CBF4A65DF9FFC1,00001B000000000309CBEBA65E01FFC1,68.2,2,0,0,3,0,0,0,0,0,0
00001B000000000309CBE8265E047FC1,00001B000000000309CBEBA65E01FFC1,00001B000000000309CBE4265E06FFC1,52.1,2,0,0,3,0,0,0,0,0,0
00001B000000000309CBE5A65E0B7FC1,00001B000000000309CBE4265E06FFC1,00001B000000000309CBE6A65E0FFFC1,49.1,1,0,0,1,0,0,0,0,0,0
00001B000000000309CBE7265E107FC1,00001B000000000309CBE7A65E107FC1,00001B000000000309CBE6A65E0FFFC1,6.2,1,0,0,3,0,0,0,0,0,0
00001B000000000309CBE8265E127FC1,00001B000000000309CBE7A65E107FC1,00001B000000000309CBE8265E147FC1,20.1,3,0,0,3,0,0,3,0,0,0
00001B000000000309CBE4265E117FC1,00001B000000000309CBE2265E127FC1,00001B000000000309CBE6A65E0FFFC1,31.4,3,0,0,3,0,0,3,0,0,0
